iter	Passed	Remaining
580	3262	30426
581	3267	30420
582	3273	30415
583	3279	30410
584	3284	30402
585	3289	30390
586	3295	30384
587	3300	30373
588	3305	30366
589	3310	30358
590	3316	30355
591	3322	30348
592	3327	30342
593	3334	30345
594	3339	30335
595	3345	30332
596	3350	30325
597	3355	30313
598	3360	30296
599	3366	30294
600	3371	30286
601	3376	30277
602	3382	30274
603	3387	30261
604	3392	30254
605	3398	30251
606	3403	30238
607	3408	30228
608	3413	30214
609	3419	30213
610	3425	30208
611	3430	30200
612	3436	30198
613	3441	30190
614	3447	30182
615	3452	30174
616	3458	30170
617	3463	30161
618	3468	30149
619	3473	30138
620	3478	30131
621	3484	30125
622	3489	30119
623	3495	30113
624	3501	30113
625	3507	30107
626	3511	30093
627	3516	30076
628	3521	30071
629	3527	30068
630	3533	30062
631	3538	30051
632	3542	30034
633	3548	30032
634	3554	30027
635	3559	30021
636	3564	30011
637	3571	30012
638	3576	30009
639	3582	30005
640	3588	30000
641	3593	29989
642	3599	29986
643	3604	29978
644	3610	29979
645	3616	29976
646	3622	29974
647	3629	29973
648	3634	29968
649	3640	29962
650	3646	29962
651	3652	29958
652	3657	29950
653	3662	29940
654	3667	29926
655	3672	29916
656	3677	29907
657	3682	29898
658	3687	29887
659	3693	29881
660	3698	29872
661	3704	29867
662	3709	29863
663	3715	29859
664	3720	29850
665	3726	29848
666	3733	29850
667	3738	29842
668	3744	29839
669	3749	29825
670	3754	29820
671	3759	29808
672	3764	29799
673	3769	29789
674	3775	29784
675	3780	29776
676	3786	29770
677	3791	29759
678	3796	29752
679	3802	29745
680	3806	29732
681	3811	29722
682	3817	29718
683	3823	29713
684	3829	29711
685	3834	29703
686	3839	29696
687	3846	29695
688	3851	29690
689	3856	29679
690	3861	29666
691	3866	29658
692	3871	29651
693	3877	29643
694	3882	29635
695	3888	29633
696	3894	29634
697	3900	29628
698	3905	29619
699	3910	29611
700	3916	29604
701	3921	29595
702	3926	29588
703	3931	29576
704	3937	29574
705	3943	29569
706	3948	29563
707	3953	29554
708	3958	29542
709	3964	29535
710	3969	29528
711	3974	29519
712	3980	29516
713	3986	29513
714	3992	29509
715	3997	29497
716	4003	29498
717	4009	29495
718	4015	29495
719	4021	29487
720	4026	29478
721	4031	29472
722	4036	29463
723	4043	29463
724	4048	29453
725	4053	29444
726	4058	29434
727	4063	29424
728	4068	29416
729	4073	29409
730	4079	29403
731	4084	29391
732	4089	29382
733	4094	29378
734	4099	29366
735	4105	29362
736	4110	29354
737	4116	29348
738	4122	29345
739	4127	29336
740	4132	29327
741	4138	29325
742	4143	29313
743	4148	29305
744	4153	29296
745	4158	29287
746	4163	29276
747	4167	29264
748	4173	29257
749	4177	29245
750	4182	29231
751	4187	29223
752	4192	29214
753	4199	29218
754	4204	29209
755	4211	29210
756	4217	29208
757	4222	29197
758	4227	29189
759	4232	29182
760	4238	29178
761	4243	29170
762	4247	29156
763	4253	29152
764	4260	29151
765	4267	29159
766	4272	29151
767	4277	29143
768	4283	29136
769	4287	29121
770	4293	29116
771	4298	29112
772	4303	29103
773	4309	29094
774	4314	29085
775	4319	29079
